Processor Name,Major Revision,Minor Revision,Category,Rare,Summary,Products Affected,Erratum Description,Configurations Affected,Conditions,Implications,Workaround
Cortex A-9,r4,p0,C,0,Main ID register alias addresses are not mapped on Debug APB interface,"Cortex-A9, Cortex-A9 MPCore","The ARM Debug Architecture specifies registers 838 and 839 as Alias of the Main ID register. They should be accessible using the APB Debug interface at addresses 0xD18 and 0xD1C . The two alias addresses are not implemented in Cortex-A9. A read access at either of these two addresses returns 0, instead of the MIDR value. Read accesses to these two registers using the internal CP14 interface are trapped to UNDEFINED , which is compliant with the ARM Debug architecture. Therefore the erratum only applies to the alias addresses using the external Debug APB interface. ",-,-,"If the debugger, or any other external agent, tries to read the MIDR register using the alias addresses, it will get a faulty answer ( 0x0 ), which can cause indeterminate errors in the debugger afterwards. ","The workaround for this erratum is to always access the MIDR at its original address, 0xD00 , and not to use its alias address. "
Cortex A-9,r4,p0,C,0,"In debug state, next instruction is stalled when SDABORT flag is set, instead of being discarded","Cortex-A9, Cortex-A9 MPCore","When the processor is in debug state, an instruction written to the ITR after a Load/Store instruction that aborts gets executed on clearing the SDABORT_l, instead of being discarded. ",-,"Debugger has put the extDCCmode bits into Stall mode A previously issued load/store instruction has generated a synchronous Data Abort (for example, an MMU fault) For efficiency, the debugger does not read DBGDSCRext immediately, to see if the load/store has completed and has not aborted, but writes further instructions to the ITR, expecting them to be discarded if a problem occurs The debugger reads the DBGDSCR at the end of the sequence and discovers the load/store aborted The debugger clears the SDABORT_l flag (by writing to the Clear Sticky Aborts bit in DBGDRCR). Under these conditions, the instruction that follows in the ITR might execute instead of being discarded. ","Indeterminate failures can occur because of the instruction being executed when it should not. In most cases, it is unlikely that the failure will cause any significant issue. ","There are a selection of workarounds with increasing complexity and decreasing impact. In each case the impact is a loss of performance when debugging: 1. Do not use stall mode. 2. Do not use stall mode when doing load/store operations. 3. Always check for a sticky abort after issuing a load/store operation in stall mode (the cost of this probably means workaround number 2 is a preferred alternative). 4. Always check for a sticky abort after issuing a load/store operation in stall mode before issuing any further instructions that might corrupt an important target state (such as further load/store instructions, instructions that write to live registers such as VFP, CP15). "
Cortex A-9,r4,p0,C,0,DBGPCSR format is incorrect,"Cortex-A9, Cortex-A9 MPCore","With respect to the DBGPCSR register, the ARM Architecture specifies that: DBGPCSR[31:2] contain the sampled value of bits [31:2] of the PC. The sampled value is an instruction address plus an offset that depends on the processor instruction set state. DBGPCSR[1:0] contain the meaning of PC Sample Value, with the following permitted values: 0b00 ((DBGPCSR[31:2] << 2) – 8) references an ARM state instruction 0bx1 ((DBGPCSR[31:1] << 1) – 4) references a Thumb or ThumbEE state instruction 0b10 IMPLEMENTATION DEFINED. This field encodes the processor instruction set state, so that the profiling tool can calculate the true instruction address by subtracting the appropriate offset from the value sampled in bits [31:2] of the register. In Cortex-A9, the DBGPCSR samples the target address of executed branches (but possibly still speculative to data aborts), with the following encodings: DBGPCSR[31:2] contain the address of the target branch instruction, with no offset. DBGPCSR[1:0] contains the execution state of the target branch instruction: 0b00 for an ARM state instruction 0b01 for a Thumb state instruction 0b10 for a Jazelle state instruction 0b11 for a ThumbEE state instruction ",-,-,"The implication of this erratum is that the debugger tools must not rely on the architected description for the value of DBGPCSR[1:0], nor remove any offset from DBGPCSR[31:2], to obtain the expected PC value. Subtracting 4 or 8 from the DBGPCSR[31:2] value would lead to an area of code which is unlikely to have been recently executed, or which might not contain any executable code. The same might be true for Thumb instructions at half-word boundaries, in which case PC[1]=1 but DBGPCSR[1]=0, or ThumbEE instructions at word boundaries, with PC[1]=0 and DBGPCSR[1]=1. In Cortex-A9, because the DBGPCSR is always a branch target (= start of a basic block to the tool), the debugger should be able to spot many of these cases and attribute the sample to the right basic block. ","The debugger tools can find the expected PC value and instruction state by reading the DBGPCSR register, and consider it as described in the Description section. "
Cortex A-9,r4,p0,C,0,An imprecise abort might be reported twice on non-cacheable reads,"Cortex-A9, Cortex-A9 MPCore","In the case when two outstanding read memory requests to device or non-cacheable normal memory regions are issued by the Cortex-A9, and the first one receives an imprecise external abort, then the second access might falsely report an imprecise external abort. ",-,The erratum can only happen in systems which can generate imprecise external aborts on device or non-cacheable normal memory regions accesses. ,"When the erratum occurs, a second, spurious imprecise abort might be reported to the core when it should not. In practice, the failure is unlikely to cause any significant issues to the system because imprecise aborts are usually unrecoverable failures. Because the spurious abort can only happen following a first imprecise abort, either the first abort is ignored - and the spurious abort is then ignored too -, or it is acknowledged and probably generates a critical failure in the system, such as a processor reset or whole system reboot. ",There is no practical software workaround for the erratum.
Cortex A-9,r4,p0,C,0,Repeated Store in the same cache line might delay the visibility of the Store,"Cortex-A9, Cortex-A9 MPCore","Since r2p0 revision, the Cortex-A9 implements a small counter which ensures the external visibility of all stores in a finite amount of time, causing an eventual drain of the Merging Store Buffer. This is to avoid erratum #754327, where written data could potentially remain indefinitely in the Store Buffer. This Store Buffer has merging capabilities, and continues to merge data as long as the write accesses are performed in the same cache line. The issue which causes this erratum is that the draining counter resets each time a new data merge is performed. In the case when a code sequence loops, and continues to write data in this same cache line, then the external visibility of the written data might not be ensured. A livelock situation might consequently occur if any external agent is relying on the visibility of the written data, and where the writing processor cannot be interrupted while doing its writing loop. ",-,"The erratum can only happen on Normal Memory regions. The following examples describe scenarios that might trigger the erratum: 1. The processor continues incrementing a counter, writing the same word at the same address. The external agent (possibly another processor) polls on this address, waiting for any update of the counter value to proceed. The Store Buffer continues merging the updated value of the counter in its cache line, so that the external agent never sees any updated value, possibly leading to livelock. 2. The processor writes a value in a given word to indicate completion of its task, then continues writing data in an adjacent word in the same cache line. The external agent continues to poll the first word memory location to check when the processor completes its task. The situation is the same in the first example, because the c ","This erratum might create performance issues, or a worst case livelock scenario, if the external agent relies on the automatic visibility of the written data in a finite amount of time. ","The recommended workaround for this erratum is to insert a DMB operation after the faulty write operation in code sequences that this erratum might affect, to ensure the visibility of the written data to any external agent. "
Cortex A-9,r4,p0,C,0,Sticky Pipeline Advance bit cannot be cleared from debug APB accesses,"Cortex-A9, Cortex-A9 MPCore",The Sticky Pipeline Advance bit is bit[25] of the DBGDSCR register. This bit enables the debugger to detect whether the processor is idle. This bit is set to 1 every time the processor pipeline retires one instruction. A write to DBGDRCR[3] clears this bit. The erratum is that the Cortex-A9 does not implement any debug APB access to DBGDRCR[3]. ,-,-,"Because of the erratum, the external debugger cannot clear the Sticky Pipeline Advance bit in the DBGDSCR. In practice, this makes the Sticky Pipeline Advance bit concept unusable on Cortex-A9 processors. ","There is no practical workaround for this erratum. The only possible way to reset the Sticky Pipeline Advance bit is to assert the nDBGRESET input pin on the processor, which obviously has the side effect to reset all debug resources in the concerned processor, and any other additional Coresight components nDBGRESET connects to. "
Cortex A-9,r4,p0,C,0,Some Unallocated memory hint instructions generate an Undefined Instruction exception instead of being treated as NOP,"Cortex-A9, Cortex-A9 MPCore","The ARM Architecture specifies that ARM opcodes of the form 11110 100x001 xxxx xxxx xxxx xxxx xxxx are Unallocated memory hint (treat as NOP) if the core supports the MP extensions, as the Cortex-A9 does. The errata is that the Cortex-A9 generates an Undefined Instruction exception when bits [15:12] of the instruction encoding are different from 4'b1111 , instead of treating the instruction as a NOP. ",-,-,"Because of the erratum, an unexpected Undefined Instruction exception might be generated. In practice, this erratum is unlikely to cause any significant issue because such instruction encodings are not supposed to be generated by any compiler, nor used by any handcrafted program. ","The workaround for this erratum is to modify the instruction encoding with bits[15:12]= 4'b1111 , so that the Cortex-A9 treats the instruction properly as a NOP. If it is not possible to modify the instruction encoding as described, the Undefined Instruction exception handler has to cope with this case, and emulate the expected behavior of the instruction, that is, it must do nothing (NOP), before returning to normal program execution. "
Cortex A-9,r4,p0,C,0,MRC and MCR are not counted in event 0x68,"Cortex-A9, Cortex-A9 MPCore","Event 0x68 counts the total number of instructions passing through the register rename pipeline stage. The erratum is that MRC and MCR instructions are not counted in this event. The event is also reported externally on PMUEVENT[9:8], which suffers from the same defect. ",-,-,"The implication of this erratum is that the values of event 0x68 and PMUEVENT[9:8] are imprecise, omitting the number of MCR and MRC instructions. The inaccuracy of the total count depends on the rate of MRC and MCR instructions in the code. ",No workaround is possible to achieve the required functionality of counting precisely how many instructions are passing through the register rename pipeline stage when the code contains some MRC or MCR instructions. 
Cortex A-9,r4,p0,C,0,Read accesses to DBGPRSR and DBGOSLSR may generate an unexpected Undefined Instruction exception,"Cortex-A9, Cortex-A9 MPCore","CP14 read accesses to the DBGPRSR and DBGOSLSR registers generate an unexpected Undefined Instruction exception when the DBGSWENABLE external pin is set to 0, even when the CP14 accesses are performed from a privileged mode. ",-,-,"Because of the erratum, the DBGPRSR and DBGOSLSR registers are not accessible when DBGSWENABLE=0. This is unlikely to cause any significant issue in Cortex-A9 based systems because these accesses are mainly intended to be used as part of debug over powerdown sequences, and the Cortex-A9 does not support this feature. ",The workaround for this erratum is to temporarily set the DBGSWENABLE bit to 1 so that the DBGPRSR and DBGOSLSR registers can be accessed as expected. There is no other workaround for this erratum. 
Cortex A-9,r4,p0,C,0,Visibility of Debug Enable access rights to enable/disable tracing is not ensured by an ISB,"Cortex-A9, Cortex-A9 MPCore","According to the ARM architecture, any change in the Authentication Status Register should be made visible to the processor after an exception entry or return, or an ISB. Although this is correctly achieved for all debug-related features, the ISB is not sufficient to make the changes visible to the trace flow. As a consequence, the WPTTRACEPROHIBITEDn signal(s) remain stuck to their old value up to the next exception entry or return, or to the next serial branch, even when an ISB executes. A serial branch is one of the following: Data processing to PC with the S bit set (for example, MOVS pc, r14 ) LDM pc ^ ",-,-,"Because of the erratum, the trace flow might not start, nor stop, as expected by the program. ","To work around the erratum, the ISB must be replaced by one of the events causing the change to be visible. In particular, replacing the ISB by a MOVS PC to the next instruction will achieve the correct functionality. "
Cortex A-9,r4,p0,C,0,PMU event 0x0A (exception return) might count twice the LDM PC ^ instructions with base address register write-back,"Cortex-A9, Cortex-A9 MPCore","The LDM PC ^ instructions with base address register write-back might be counted twice in the PMU event 0x0A, which is counting the number of exception returns. The associated PMUEVENT[11] signal is also affected by this erratum, and might be asserted twice by a single LDM PC ^ with base address register write-back. ",-,-,"Because of the erratum, the count of exception returns is imprecise. The error rate depends on the ratio between exception returns of the form LDM PC ^ with base address register write-back and the total number of exceptions returns. ",There is no workaround to this erratum.
Cortex A-9,r4,p0,C,0,Write Context ID event is updated on read access,"Cortex-A9, Cortex-A9 MPCore","When selected, the Write Context ID event (event 0x0B ) of the Performance Monitoring Unit (PMU) increments a counter whenever an instruction that writes to the Context ID register, CONTEXTIDR, is architecturally executed. However, this erratum means that an instruction that reads the Context ID register also updates this counter. ",This erratum affects all configurations of the processor.,"The erratum can happen under the following conditions: 1. A PMU counter is enabled, by setting the PMCNTENSET.Px bit to 1 (x identifies a single event counter, and takes a value from 0 to 7). 2. The “Write Context ID” event is mapped to this selected PMU counter: a. The chosen PMU counter is selected, by setting PMSELR.SEL to x (the same value as in condition 1). b. The Write Context ID event is mapped to this selected PMU, by setting PMXEVTYPER.evtCount to 0x0B . 3. The PMU is enabled, by setting the PMCR.E bit to 1. 4. A read access occurs to the CONTEXTIDR. In this situation the PMU updates the counter when it should not. ","The erratum affects the accuracy of the “Write Context ID” event, and its associated PMUEVENT[12] output signal. ",There is no workaround for this erratum.
